NOTA_FISCAL;NOME;CPF;CIDADE;CARGO;ENDERECO;EMAIL;DATA_NASCIMENTO;IDADE;DATA_EMISSAO;VALOR_NOTA;COMISSAO;VENDEDOR
978475;Dra. Daniela Cirino;409.187.256-58;Martins;Acompanhante;Via Isaac da Cunha, 867;bpeixoto@example.com;15/08/2017;8;27/11/2024;586;8,79;Vendedor_E
250183;Srta. Maria Júlia Guerra;568.029.734-56;Cavalcante do Oeste;Instrumentista musical;Núcleo Letícia Castro, 97;andradeisis@example.org;30/12/2017;8;02/07/2025;366;5,49;Vendendor_A
801253;Matheus Montenegro;529.613.874-00;Pires Alegre;Presidente da República;Pátio de Santos, 268;maria-lauracassiano@example.net;12/09/1995;30;15/08/2025;567;8,5;Vendendor_C
708993;Bella Souza;630.259.418-98;Casa Grande;Atleta de canoagem;Via Silva, 47;davi-luiz49@example.net;27/09/1920;105;02/06/2025;746;11,19;Vendendor_C
974257;Josué Alves;734.012.658-90;Almeida de Cassiano;Peixeiro;Distrito Pinto, 53;britoheloisa@example.org;13/08/1912;113;10/06/2025;853;12,79;Vendendor_C
249290;Eloá Casa Grande;875.241.639-91;Campos do Oeste;Engenheiro agrimensor;Via Nicolas Pimenta, 64;emanuelcirino@example.com;21/09/1984;41;03/06/2025;451;6,76;Vendendor_A
281190;José Camargo;632.570.981-03;Carvalho;Diarista;Área de Cavalcanti, 74;joao-lucascasa-grande@example.com;09/07/1966;59;18/12/2024;310;4,65;Vendendor_C
312902;Isabelly Albuquerque;506.189.473-10;Barros de Porto;Agente funerário;Vale Hadassa Carvalho;luiz-henriquesouza@example.net;06/08/1978;47;03/01/2025;131;1,96;Vendendor_B
762852;Hellena Camargo;968.240.371-50;Lopes;Profissional de cinema;Largo de Souza, 178;leoda-costa@example.net;18/08/1955;70;22/10/2025;767;11,5;Vendendor_B
789966;Sr. Augusto Novaes;734.698.501-00;Pereira do Oeste;Agente funerário;Loteamento Silva, 3;benjamin30@example.net;09/04/1958;67;02/02/2025;137;2,05;Vendedor_E
